count_id,line,species_id,site_code,liana,count
709,2,1468,BEZA1,,1.0
710,5,1468,BEZA1,,1.0
711,2,1555,BEZA1,,3.0
712,4,1555,BEZA1,,2.0
713,5,1555,BEZA1,,1.0
714,6,1555,BEZA1,,3.0
715,7,1817,BEZA1,,3.0
716,2,2060,BEZA1,,1.0
717,4,2060,BEZA1,,2.0
718,10,2060,BEZA1,,4.0
719,2,2065,BEZA1,,1.0
720,7,2065,BEZA1,,2.0
721,7,2727,BEZA1,,3.0
722,1,3611,BEZA1,,2.0
723,2,3611,BEZA1,,12.0
724,4,3611,BEZA1,,1.0
725,5,3611,BEZA1,,10.0
726,6,3611,BEZA1,,7.0
727,7,3611,BEZA1,,2.0
728,8,3611,BEZA1,,2.0
729,5,3810,BEZA1,,13.0
730,7,3810,BEZA1,,3.0
731,8,3810,BEZA1,,14.0
732,4,3854,BEZA1,,1.0
733,5,3854,BEZA1,,1.0
734,8,3854,BEZA1,,3.0
735,3,3876,BEZA1,,7.0
736,6,4081,BEZA1,,7.0
737,8,4081,BEZA1,,1.0
738,1,4629,BEZA1,,9.0
739,2,4629,BEZA1,,2.0
740,4,4629,BEZA1,,9.0
741,8,4629,BEZA1,,1.0
742,9,4629,BEZA1,,4.0
743,10,4629,BEZA1,,11.0
744,1,5051,BEZA1,,2.0
745,3,5056,BEZA1,,1.0
746,4,6141,BEZA1,,1.0
747,9,6141,BEZA1,,2.0
